employeeId,TIN,positionid,payrollType,baseWage,bankName,bankAccount,billable
10776,10776,10776,semimonthly,1000,scotiabank,154654651,TRUE
10860,10860,10860,semimonthly,1000,scotiabank,154654651,TRUE
10869,10869,10869,semimonthly,1000,scotiabank,154654651,TRUE
10939,10939,10939,semimonthly,1000,scotiabank,154654651,TRUE
11004,11004,11004,semimonthly,1000,scotiabank,154654651,TRUE
11016,11016,11016,semimonthly,1000,scotiabank,154654651,TRUE
11057,11057,11057,semimonthly,1000,scotiabank,154654651,TRUE
11058,11058,11058,semimonthly,1000,scotiabank,154654651,TRUE
11120,11120,11120,semimonthly,1000,scotiabank,154654651,TRUE
11300,11300,11300,semimonthly,1000,scotiabank,154654651,TRUE
11357,11357,11357,semimonthly,1000,scotiabank,154654651,TRUE
11487,11487,11487,semimonthly,1000,scotiabank,154654651,TRUE
11683,11683,11683,semimonthly,1000,scotiabank,154654651,TRUE
